PID,LotArea,Street,YearBuilt,YearRemod
526301100,31770,Pave,1960,1960
526302030,11027,Pave,1954,1954
526302040,10533,Pave,1956,1956
526302110,13008,Pave,1956,1956
526302120,11765,Pave,1957,1957
526303060,39384,Pave,1957,1957
526350040,11622,Pave,1961,1961
526351010,14267,Pave,1958,1958
526351030,11029,Pave,1958,2002
526351100,10200,Pave,1974,1974
526352080,10667,Pave,1971,1971
526352090,10628,Pave,1970,1970
526353030,11160,Pave,1968,1968
526353050,12925,Pave,1970,1970
526354020,11727,Pave,1969,1969
526354070,11075,Pave,1969,1969
526355080,13860,Pave,1972,1995
526355170,13651,Pave,1973,1973
526355190,15865,Pave,1970,1970
527105010,13830,Pave,1997,1998
527105030,9978,Pave,1998,1998
527105050,8702,Pave,1997,1998
527105060,8238,Pave,1997,1998
527105070,10179,Pave,1997,1997
527105130,11792,Pave,2003,2003
527105140,12394,Pave,2003,2003
527106010,13006,Pave,1997,1997
527106050,8139,Pave,1995,1996
527106140,9535,Pave,1998,1998
527106150,9042,Pave,1998,1998
527107010,15038,Pave,1996,1996