Date,Temp
1990-01-01,
1990-01-02,13.3
1990-01-03,15.6
1990-01-04,14.5
1990-01-05,
1990-01-06,15.3
1990-01-07,
1990-01-08,14.8
1990-01-09,17.4
1990-01-10,
1990-01-11,22.1
1990-01-12,19.0
1990-01-13,15.5
1990-01-14,15.8
1990-01-15,14.7
1990-01-16,
1990-01-17,11.5
1990-01-18,15.0
1990-01-19,
1990-01-20,14.5
1990-01-21,13.3
1990-01-22,14.3
1990-01-23,14.3
1990-01-24,
1990-01-25,15.0
1990-01-26,
1990-01-27,16.9
1990-01-28,
1990-01-29,13.6
1990-01-30,16.4
1990-01-31,16.1
1990-02-01,12.0
1990-02-02,12.2
1990-02-03,
1990-02-04,14.8
1990-02-05,14.4
1990-02-06,12.9
1990-02-07,13.4
1990-02-08,15.9
1990-02-09,
1990-02-10,17.6
1990-02-11,15.6
1990-02-12,15.0
1990-02-13,
1990-02-14,14.1
1990-02-15,17.3
1990-02-16,15.7
1990-02-17,
1990-02-18,12.7
1990-02-19,14.0
1990-02-20,13.7
1990-02-21,16.3
1990-02-22,20.0
1990-02-23,17.0
1990-02-24,15.2
1990-02-25,
1990-02-26,16.5
1990-02-27,
1990-02-28,19.1